model,dataset_name,variant,structure_info,init_layers_X,hidden,layers,hops,fixed_splits,resnet,layer_norm,att_hopwise_distinct,fuse_hop,normalization,online_cs,lambda_pen,lambda_2hop,threshold,comm_size,approach,split,lr,weight_decay,dropout,test_mean,test_std,runtime_average,epoch_average,cs_time,cs_nmi,cs_nmi_std,cs_jaccard,cs_jaccard_std,cs_f1,cs_f1_std
icsgnn,squirrel,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.2032660902977906,0.01926601519572976,45.79663732051849,462.5922961668535,26.272780950260348,0.0,0.0,0.3117,0.0,0.4753,0.0
qdgnn,squirrel,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.2808837656099904,0.0274076716872237,93.44111120700836,943.8496081515996,28.10738120777998,0.0,0.0,0.3117,0.0,0.4753,0.0
icsgnn_tanh,squirrel,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.21268011527377523,0.040302799440026155,8.561459946632386,86.47939340032713,10.50669957214035,0.0,0.0,0.3359,0.0,0.5028,0.0
qdgnn_tanh,squirrel,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.35091258405379444,0.031186858954280944,30.669845867156983,309.7964229005756,12.129590187999419,0.0,0.0,0.329,0.0,0.4951,0.0
icsgnn_acm,squirrel,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.2842459173871278,0.027613122458120365,17.49612674713135,176.72855300132676,9.863456685678102,0.0,0.0,0.3462,0.0,0.5143,0.0
qdgnn_acm,squirrel,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.33093179634966374,0.047732503479157876,30.54597098827362,308.5451614977133,8.68863644659985,0.0,0.0,0.291,0.0,0.4509,0.0
k_core,squirrel,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,0.00023182664066553115,0.0,0.0,0.2386,0.0,0.3853,0.0
k_truss,squirrel,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,0.00022748410003259778,0.0,0.0,0.4766,0.0,0.6455,0.0
clique,squirrel,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,0.0023451520199887456,0.0,0.0,0.36,0.0,0.5294,0.0
icsgnn,cora,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.35205254515599343,0.2380558259662796,3.6269073724746703,36.63542800479465,0.6410169934784062,0.0,0.0,0.618,0.0,0.7639,0.0
qdgnn,cora,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.8031198686371098,0.059881210021460754,6.716365504264831,67.84207580065487,0.66778869016096,0.0,0.0,0.8501,0.0,0.919,0.0
coclep,cora,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.47110016420361245,0.1366652570296826,61.20822205543518,618.26486924682,0.6268071175203659,0.0,0.0,0.1879,0.0,0.3164,0.0
icsgnn_tanh,cora,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.37996715927750413,0.22954020580483547,3.242861604690552,32.75617782515709,0.6560914387996308,0.0,0.0,0.665,0.0,0.7988,0.0
qdgnn_tanh,cora,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.8627257799671592,0.015231157471665329,6.981344556808471,70.51863188695425,0.650712992399931,0.0,0.0,0.8336,0.0,0.9092,0.0
coclep_tanh,cora,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.4336617405582922,0.15117517746246256,61.483520197868344,621.0456585643267,0.6168081745808013,0.0,0.0,0.5933,0.0,0.7447,0.0
icsgnn_acm,cora,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.8546798029556649,0.009776667091365633,6.251733827590942,63.14882654132264,0.6243456141208299,0.0,0.0,0.8556,0.0,0.9222,0.0
