model,dataset_name,variant,structure_info,init_layers_X,hidden,layers,hops,fixed_splits,resnet,layer_norm,att_hopwise_distinct,fuse_hop,normalization,online_cs,lambda_pen,lambda_2hop,threshold,comm_size,approach,split,lr,weight_decay,dropout,test_mean,test_std,runtime_average,epoch_average,cs_time,cs_nmi,cs_nmi_std,cs_jaccard,cs_jaccard_std,cs_f1,cs_f1_std
icsgnn,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.4065573770491803,0.3046535076804547,3.808484172821045,38.46953709920247,0.1006835059216246,0.0,0.0,0.4676,0.0,0.6372,0.0
qdgnn,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.4131147540983607,0.21819912304229297,6.508985257148742,65.74732582978528,0.15822504703886808,0.0,0.0,0.4014,0.0,0.5728,0.0
coclep,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.48196721311475416,0.29809031167687094,21.466004610061646,216.82832939456208,0.05251299554016441,0.0,0.0,0.3469,0.0,0.5151,0.0
icsgnn_tanh,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.5655737704918034,0.3082882668363491,3.4697951793670656,35.04843615522289,0.12449621297884733,0.0,0.0,0.4262,0.0,0.5977,0.0
qdgnn_tanh,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.24754098360655732,0.23840484854267036,6.770126700401306,68.38511818587179,0.0521740295807831,0.0,0.0,0.4028,0.0,0.5742,0.0
coclep_tanh,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.6393442622950819,0.18720134326059276,22.187794303894044,224.11913438276812,0.1730053750006482,0.0,0.0,0.3469,0.0,0.5151,0.0
icsgnn_acm,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.47868852459016403,0.12350693902844175,9.55696702003479,96.53502040439183,0.056339320940896866,0.0,0.0,0.4579,0.0,0.6282,0.0
qdgnn_acm,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.4524590163934426,0.19838097714630615,11.882789897918702,120.02818078705758,0.052942959300708026,0.0,0.0,0.4607,0.0,0.6308,0.0
coclep_acm,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.3885245901639344,0.28223871793127425,30.318507862091064,306.247554162536,0.23296346777817234,0.0,0.0,0.3324,0.0,0.499,0.0
k_core,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,1.8340018577873707e-05,0.0,0.0,0.3883,0.0,0.5594,0.0
k_truss,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,1.796080032363534e-05,0.0,0.0,0.3945,0.0,0.5658,0.0
clique,cornell,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,1.6772078815847635e-05,0.0,0.0,0.4517,0.0,0.6223,0.0
icsgnn,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.1125,0.1753567791675018,3.6821911096572877,37.193849592497855,0.08301421467913314,0.0,0.0,0.449,0.0,0.6197,0.0
qdgnn,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.5575000000000001,0.09637167633698192,6.832007551193238,69.01017728478018,0.08515723712043836,0.0,0.0,0.4572,0.0,0.6275,0.0
coclep,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.62,0.1046123797645384,24.058110070228576,243.0112128305917,0.11903401734074577,0.0,0.0,0.3483,0.0,0.5166,0.0
icsgnn_tanh,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.29875,0.25288646167796336,3.721500062942505,37.59090972669197,0.20291057399939746,0.0,0.0,0.4428,0.0,0.6138,0.0
qdgnn_tanh,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.63,0.06523994175349945,7.1275910377502445,71.99586906818428,0.27375879405997694,0.0,0.0,0.4434,0.0,0.6144,0.0
coclep_tanh,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.6025,0.09233092656309695,25.011947441101075,252.6459337484957,0.08699694089824334,0.0,0.0,0.3903,0.0,0.5615,0.0
icsgnn_acm,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.6250000000000001,0.07623975340988454,9.758895874023438,98.57470579821654,0.327699152699206,0.0,0.0,0.5841,0.0,0.7375,0.0
qdgnn_acm,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.7550000000000001,0.09340770846134702,12.753550362586974,128.82374103623206,0.07814743650145829,0.0,0.0,0.6283,0.0,0.7717,0.0
coclep_acm,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.5362500000000001,0.11890778990461476,27.280157613754273,275.5571476136795,0.07888731862185523,0.0,0.0,0.3938,0.0,0.5651,0.0
k_core,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,2.1454840898513793e-05,0.0,0.0,0.3731,0.0,0.5434,0.0
k_truss,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,2.267328090965748e-05,0.0,0.0,0.4048,0.0,0.5763,0.0
clique,wisconsin,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,2.0583979785442353e-05,0.0,0.0,0.4455,0.0,0.6164,0.0
icsgnn,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.3098360655737705,0.29366234104078154,2.4154292583465575,24.398275336833915,0.05011888813925907,0.0,0.0,0.451,0.0,0.6217,0.0
qdgnn,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.6786885245901639,0.09423021549639289,4.178089118003845,42.20292038387723,0.05374023348093033,0.0,0.0,0.4352,0.0,0.6064,0.0
coclep,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.5065573770491805,0.30682026073890967,11.923693203926087,120.44134549420289,0.05324942369945347,0.0,0.0,0.3807,0.0,0.5514,0.0
icsgnn_tanh,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.660655737704918,0.2802319843685853,2.5330669403076174,25.586534750581993,0.05236048011807725,0.0,0.0,0.4641,0.0,0.634,0.0
qdgnn_tanh,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.6295081967213115,0.2717753945632856,3.990341901779175,40.30648385635531,0.05302775946212932,0.0,0.0,0.48,0.0,0.6486,0.0
coclep_tanh,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.7836065573770492,0.06255339025684889,11.745282292366028,118.63921507440432,0.05087090996094048,0.0,0.0,0.4145,0.0,0.5861,0.0
icsgnn_acm,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.7262295081967214,0.11192051927015269,5.481673955917358,55.37044399916523,0.05398484166013077,0.0,0.0,0.6152,0.0,0.7617,0.0
qdgnn_acm,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.7508196721311476,0.05121475197315838,6.4628009557723995,65.28081773507475,0.05576056293910369,0.0,0.0,0.631,0.0,0.7738,0.0
coclep_acm,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.5573770491803278,0.23824133933881902,14.902391242980958,150.52920447455512,0.05362819598056376,0.0,0.0,0.3876,0.0,0.5586,0.0
k_core,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,1.7585118766874074e-05,0.0,0.0,0.4055,0.0,0.577,0.0
k_truss,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,1.2917579151690007e-05,0.0,0.0,0.4524,0.0,0.623,0.0
clique,texas,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,,,,,0,0,,,1.7284820787608625e-05,0.0,0.0,0.4966,0.0,0.6636,0.0
icsgnn,film,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.2299556681443952,0.12027112688928694,4.910547256469727,49.601487439088146,2.4932841969002038,0.0,0.0,0.2483,0.0,0.3978,0.0
qdgnn,film,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.23033565547815074,0.07602018343194268,14.650884747505188,147.98873482328472,2.391549833600875,0.0,0.0,0.24,0.0,0.3871,0.0
coclep,film,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.2725142495250158,0.04229278750460658,193.9824069738388,1959.4182522609979,2.3525184582592917,0.0,0.0,0.2241,0.0,0.3662,0.0
icsgnn_tanh,film,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.23875870804306526,0.11068297542725004,5.032612085342407,50.83446550850916,2.5533331273403017,0.0,0.0,0.2745,0.0,0.4307,0.0
qdgnn_tanh,film,1,0,2,1024,2,9,0,1,1,0,mlp,none,signed_cs,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.2,0.3200126662444585,0.02296060341140571,14.79158329963684,149.40993231956404,2.3811547614983284,0.0,0.0,0.2255,0.0,0.368,0.0
