model,dataset_name,variant,structure_info,init_layers_X,hidden,layers,hops,fixed_splits,resnet,layer_norm,att_hopwise_distinct,fuse_hop,normalization,online_cs,lambda_pen,lambda_2hop,threshold,comm_size,approach,split,lr,weight_decay,dropout,test_mean,test_std,runtime_average,epoch_average,cs_time,cs_nmi,cs_nmi_std,cs_jaccard,cs_jaccard_std,cs_f1,cs_f1_std
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,0,0.01,0.001,0.2,0.07704918032786887,0.23114754098360657,0.20202875137329102,20.40694458316071,0.00520867275998171,0.0,nan,0.8895,nan,0.9415,0.0
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,1,0.01,0.001,0.2,0.1557377049180328,0.3114969794084633,0.4115141868591309,20.783544790865193,0.00509964482000214,0.0,0.0,0.87315,0.02312239174480007,0.9322,0.009299999999999975
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,2,0.01,0.001,0.2,0.2377049180327869,0.36327291822368774,0.6143445491790771,20.685001655861182,0.005242767613332641,0.0,0.0,0.8807,0.020936332056976936,0.9364666666666667,0.0096989117373491
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,3,0.01,0.001,0.2,0.3245901639344263,0.39824932668195906,0.8199009895324707,20.70457044273916,0.005209992309992232,0.0,0.0,0.8942,0.03195653297840677,0.943925,0.015408824582037397
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,4,0.01,0.001,0.2,0.4000000000000001,0.40103333337763647,1.023268723487854,20.67209542399705,0.005218757827999071,0.0,0.0,0.884,0.035862445538473814,0.93812,0.018020477241183143
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,5,0.01,0.001,0.2,0.47377049180327874,0.3883170227860659,1.2267062187194824,20.65161984376233,0.005145192453334555,0.0,0.0,0.8766666666666666,0.036763550789697494,0.9339333333333334,0.01892763998906243
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,6,0.01,0.001,0.2,0.5606557377049181,0.3693293820174508,1.4287277936935425,20.616562679560495,0.0051096526942897725,0.0,0.0,0.8739857142857143,0.03430177005012174,0.9324428571428571,0.017899868885621725
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,7,0.01,0.001,0.2,0.6524590163934427,0.33062773681191426,1.6313085317611695,20.597329946479412,0.005063892997504808,0.0,0.0,0.8730249999999999,0.03187330947898034,0.9319375000000001,0.016797093312534754
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,8,0.01,0.001,0.2,0.7327868852459016,0.25013299338123196,1.8323201656341552,20.564760557061224,0.005068016735563611,0.0,0.0,0.8713444444444444,0.030238018747559804,0.9310000000000002,0.016056912668518948
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,9,0.01,0.001,0.2,0.8180327868852458,0.05508294300462768,2.0341682910919188,20.547154455473926,0.005069089326010726,0.0,0.0,0.8725299999999999,0.028754132070210558,0.9317000000000002,0.015376995805423108
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,0,0.01,0.001,0.2,0.07704918032786887,0.23114754098360657,0.19835543632507324,20.03590265909831,0.005390653799986466,0.0,nan,0.8895,nan,0.9415,0.0
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,1,0.01,0.001,0.2,0.1557377049180328,0.3114969794084633,0.4067467927932739,20.54276731279161,0.0052617386400015675,0.0,0.0,0.87315,0.02312239174480007,0.9322,0.009299999999999975
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,2,0.01,0.001,0.2,0.2377049180327869,0.36327291822368774,0.6087965965270996,20.498201903269347,0.005404070993342127,0.0,0.0,0.8807,0.020936332056976936,0.9364666666666667,0.0096989117373491
acmsmn,texas,1,2,2,256,1,3,0,0,0,0,mlp,softmax,sub_cs,1,0.5,0.9,20,,3,0.01,0.001,0.2,0.3245901639344263,0.39824932668195906,0.8124280452728272,20.515859729111796,0.005377337570007512,0.0,0.0,0.8942,0.03195653297840677,0.943925,0.015408824582037397
