model,dataset_name,variant,structure_info,init_layers_X,hidden,layers,hops,fixed_splits,resnet,layer_norm,att_hopwise_distinct,fuse_hop,normalization,online_cs,lambda_pen,lambda_2hop,threshold,comm_size,approach,split,lr,weight_decay,dropout,test_mean,test_std,runtime_average,epoch_average,cs_time,cs_nmi,cs_nmi_std,cs_jaccard,cs_jaccard_std,cs_f1,cs_f1_std
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,0,0.01,0.001,0.2,0.08032786885245902,0.24098360655737708,0.4237145185470581,42.79944631788465,0.053762044079921904,0.0,nan,0.8811,nan,0.9368,0.0
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,1,0.01,0.001,0.2,0.1557377049180328,0.311669482248438,0.9284851312637329,46.89318844766328,0.055952285140010646,0.0,0.0,0.87845,0.003747665940288682,0.9353,0.0015000000000000013
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,2,0.01,0.001,0.2,0.24262295081967214,0.3715059382938367,1.406924295425415,47.371188398162126,0.05662527066670009,0.0,0.0,0.8740666666666667,0.008041351461870927,0.9328,0.0037416573867739447
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,3,0.01,0.001,0.2,0.32131147540983607,0.39441137565206164,1.8853183746337892,47.60904986448963,0.056861200325038226,0.0,0.0,0.8810749999999999,0.01547823741042028,0.936725,0.007531060682267824
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,4,0.01,0.001,0.2,0.4016393442622951,0.4025082604843403,2.3615010738372804,47.70709240075314,0.057260754872055265,0.0,0.0,0.8795999999999999,0.013804347141389929,0.9359,0.006935127972863963
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,5,0.01,0.001,0.2,0.4786885245901639,0.3918547191692764,2.8427600860595703,47.85791390672677,0.057306621166717385,0.0,0.0,0.8786166666666667,0.012579732376591596,0.93535,0.0064492247596125984
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,6,0.01,0.001,0.2,0.5655737704918032,0.3718999787511541,3.3051042318344117,47.69270175807232,0.057010710931478706,0.0,0.0,0.8758,0.013689777207829212,0.9337428571428571,0.0071517944087694605
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,7,0.01,0.001,0.2,0.6557377049180328,0.3308877409703009,3.7553351879119874,47.41584833222206,0.05661074605255635,0.0,0.0,0.8759250000000001,0.012679201191602847,0.933825,0.00669342027665976
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,8,0.01,0.001,0.2,0.7377049180327869,0.2499126426250427,4.20304594039917,47.172232776646126,0.056230334093383544,0.0,0.0,0.8747444444444444,0.012377813933719398,0.9331555555555556,0.006588560981160391
acmsmn,cornell,1,2,2,256,1,3,0.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,9,0.01,0.001,0.2,0.8147540983606557,0.04697229108817837,4.650711107254028,46.97687987125281,0.05588519896604703,0.0,0.0,0.87906,0.01795625548690795,0.9355600000000001,0.009544652953355628
acmsmn,cornell,1,2,2,256,1,3,1.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,0,0.01,0.001,0.2,0.05945945945945946,0.1783783783783784,0.20885984897613524,21.096954442033866,0.05231994975998532,0.0,nan,0.6832,nan,0.8118,0.0
acmsmn,cornell,1,2,2,256,1,3,1.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,1,0.01,0.001,0.2,0.13513513513513514,0.2726918541757717,0.6616740942001342,33.41788354546132,0.0528513588700298,0.0,0.0,0.72845,0.06399316369738257,0.8421,0.030299999999999994
acmsmn,cornell,1,2,2,256,1,3,1.0,0,0,0,mlp,softmax,signed_cs,1,0.5,0.9,20,distinct_hop,2,0.01,0.001,0.2,0.227027027027027,0.3542912347713284,1.1125741720199585,37.46040983232184,0.05274426165337597,0.0,0.0,0.7449333333333333,0.05350386278889903,0.8531,0.029224304953240552
