model,dataset_name,variant,structure_info,init_layers_X,hidden,layers,hops,fixed_splits,resnet,layer_norm,att_hopwise_distinct,fuse_hop,normalization,online_cs,lambda_pen,lambda_2hop,threshold,svd_rank,top,comm_size,approach,split,lr,weight_decay,dropout,test_mean,test_std,runtime_average,epoch_average,cs_time,cs_nmi,cs_nmi_std,cs_jaccard,cs_jaccard_std,cs_f1,cs_f1_std
acmsmn,texas,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop,9,0.01,0.001,0.2,0.8688524590163935,0.050793224212556304,3.647498846054077,36.843422687414915,0.0007916407193988562,0.0,0.0,0.9048,0.0,0.95,0.0
acmsmn,texas,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8049180327868852,0.07456764206914201,3.7191802978515627,37.56747775607639,0.0008872762601822615,0.0,0.0,0.8372,0.0,0.9114,0.0
acmsmn,texas,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_rand,9,0.01,0.001,0.2,0.8147540983606559,0.0819836049183606,3.6479687452316285,36.84816914375382,0.0007519316580146551,0.0,0.0,0.8862,0.0,0.9397,0.0
acmsmn,texas,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8049180327868852,0.07456764206914201,3.7210479021072387,37.58634244552766,0.0007811268046498299,0.0,0.0,0.8372,0.0,0.9114,0.0
acmsmn,texas,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.2,0.7885245901639345,0.05103076202056847,3.685917830467224,37.23149323704267,0.001582929864525795,0.0,0.0,0.8297,0.0,0.9069,0.0
acmsmn,film,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop,9,0.01,0.001,0.2,0.3733375554148195,0.01103218258526366,12.42829942703247,125.53837805083303,0.0027980360016226767,0.0,0.0,0.4067,0.0,0.5782,0.0
acmsmn,film,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.38872704243191897,0.016893655481632165,5.665457487106323,57.22684330410428,0.003813195638358593,0.0,0.0,0.3553,0.0,0.5243,0.0
acmsmn,film,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_rand,9,0.01,0.001,0.2,0.3716276124129196,0.019669009674460985,5.479465198516846,55.34813331835198,0.0035504169017076493,0.0,0.0,0.3705,0.0,0.5406,0.0
acmsmn,film,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.38872704243191897,0.016893655481632165,5.712866997718811,57.70572724968496,0.0037475232407450675,0.0,0.0,0.3553,0.0,0.5243,0.0
acmsmn,film,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.38739708676377455,0.017181446633515042,5.702662706375122,57.602653599748706,0.04818964839912951,0.0,0.0,0.3246,0.0,0.4901,0.0
acmsmn,chameleon,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop,9,0.01,0.001,0.2,0.5262582056892778,0.0192572607515902,5.492128539085388,55.47604584934736,0.0036623909045010805,0.0,0.0,0.6768,0.0,0.8072,0.0
acmsmn,chameleon,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.4905908096280087,0.02674243521654651,4.858949756622314,49.08030057194257,0.003584532141685486,0.0,0.0,0.664,0.0,0.7981,0.0
acmsmn,chameleon,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_rand,9,0.01,0.001,0.2,0.5144420131291028,0.03953836823896584,4.768985319137573,48.1715688801775,0.0036993365827947856,0.0,0.0,0.6208,0.0,0.766,0.0
acmsmn,chameleon,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.49606126914660836,0.026907543845642982,4.827563071250916,48.763263345968845,0.002640684973448515,0.0,0.0,0.6793,0.0,0.809,0.0
acmsmn,chameleon,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.49606126914660836,0.026907543845642982,4.829725193977356,48.78510296946824,0.005153506137430668,0.0,0.0,0.5075,0.0,0.6733,0.0
acmsmn,squirrel,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.34245917387127756,0.02435589508397865,5.967711496353149,60.279914104577266,0.003754126001149416,0.0,0.0,0.629,0.0,0.7722,0.0
acmsmn,squirrel,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_rand,9,0.01,0.001,0.2,0.3346781940441883,0.021779491107137398,5.977602481842041,60.37982304890951,0.0027143307402729988,0.0,0.0,0.5572,0.0,0.7156,0.0
acmsmn,squirrel,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.34245917387127756,0.02435589508397865,5.880612778663635,59.400129077410455,0.0038487706147134304,0.0,0.0,0.629,0.0,0.7722,0.0
acmsmn,squirrel,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.3416906820365034,0.024237398236313584,5.963424777984619,60.23661391903656,0.0020578559394925835,0.0,0.0,0.3376,0.0,0.5048,0.0
acmsmn,cora,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop,9,0.01,0.001,0.2,0.7274220032840721,0.02075731112388895,5.059825682640076,51.10935032969773,0.002708128774538636,0.0,0.0,0.8697,0.0,0.9303,0.0
acmsmn,cora,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8113300492610837,0.02475556664952174,4.6678554773330685,47.15005532659666,0.0036325575411319732,0.0,0.0,0.9023,0.0,0.9486,0.0
acmsmn,cora,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_rand,9,0.01,0.001,0.2,0.7786535303776683,0.022655338497217983,4.718120384216308,47.657781658750594,0.0031727227196097375,0.0,0.0,0.8463,0.0,0.9168,0.0
acmsmn,cora,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8113300492610837,0.02475556664952174,4.681079339981079,47.28362969677858,0.0027210136223584412,0.0,0.0,0.9023,0.0,0.9486,0.0
acmsmn,cora,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8113300492610837,0.02475556664952174,4.235987710952759,42.787754656088474,0.0011758823972195388,0.0,0.0,0.855,0.0,0.9219,0.0
acmsmn,citeseer,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop,9,0.01,0.001,0.2,0.689631650750341,0.018568427815574603,7.096845960617065,71.68531273350571,0.0037520721368491648,0.0,0.0,0.8616,0.0,0.9257,0.0
acmsmn,citeseer,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.7203274215552524,0.022208486488539837,5.774297046661377,58.32623279455936,0.00424834955483675,0.0,0.0,0.8561,0.0,0.9225,0.0
acmsmn,citeseer,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_rand,9,0.01,0.001,0.2,0.707094133697135,0.02725134333827691,5.1476788997650145,51.99675656328297,0.0035134523175656797,0.0,0.0,0.8858,0.0,0.9394,0.0
acmsmn,citeseer,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.7133697135061392,0.019717636240839127,5.6961723327636715,57.53709427034012,0.003080073297023773,0.0,0.0,0.86,0.0,0.9247,0.0
acmsmn,citeseer,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.7133697135061392,0.019717636240839127,5.513627004623413,55.69320206690316,0.004377184174954891,0.0,0.0,0.7591,0.0,0.863,0.0
acmsmn,pubmed,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop,9,0.01,0.001,0.2,0.8666666666666666,0.0071283058061841365,53.46120402812958,540.0121619002988,0.006126284636557102,0.0,0.0,0.9372,0.0,0.9676,0.0
acmsmn,pubmed,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8804055766793407,0.011033344391812522,7.507452774047851,75.83285630351365,0.003056711880490184,0.0,0.0,0.9532,0.0,0.976,0.0
acmsmn,pubmed,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_rand,9,0.01,0.001,0.2,0.8740430925221799,0.007333968990801183,7.763370108604431,78.41787988489324,0.004031159719452262,0.0,0.0,0.9107,0.0,0.9533,0.0
acmsmn,pubmed,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8803548795944234,0.00796686583172853,7.761477208137512,78.3987596781567,0.004100913535803556,0.0,0.0,0.9447,0.0,0.9716,0.0
acmsmn,pubmed,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,150,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8792141951837769,0.009919186211976266,7.6290923118591305,77.06153850362759,0.005355683378875256,0.0,0.0,0.9228,0.0,0.9599,0.0
acmsmn,reddit,1,2,2,128,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,50,2,1000,distinct_hop_svds_low,9,0.01,0.001,0.2,0.7018271694794461,0.00855633878064058,18.687138557434082,188.75897532761698,0.022612014561891557,0.0,0.0,0.5114,0.0,0.6767,0.0
acmsmn,reddit,1,2,2,128,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,50,2,1000,distinct_hop_svds_low,9,0.01,0.001,0.2,0.9104353363963062,0.008721919760683636,18.655291032791137,188.43728315950645,0.020268614497035743,0.0,0.0,0.7642,0.0,0.8664,0.0
