model,dataset_name,variant,structure_info,init_layers_X,hidden,layers,hops,fixed_splits,resnet,layer_norm,att_hopwise_distinct,fuse_hop,normalization,online_cs,lambda_pen,lambda_2hop,threshold,svd_rank,top,comm_size,approach,split,lr,weight_decay,dropout,test_mean,test_std,runtime_average,epoch_average,cs_time,cs_nmi,cs_nmi_std,cs_jaccard,cs_jaccard_std,cs_f1,cs_f1_std
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop,9,0.01,0.001,0.2,0.7950819672131149,0.15011417315673953,4.148029685020447,41.89928974768128,0.0009758829977363348,0.0,0.0,0.8876,0.0,0.9404,0.0
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.2,0.7672131147540985,0.09468543657831902,3.6308843374252318,36.67559936793163,0.0005826352816075087,0.0,0.0,0.8317,0.0,0.9081,0.0
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_rand,9,0.01,0.001,0.2,0.8278688524590164,0.07003281758456995,3.6509509801864626,36.878292729156186,0.0005711917672306299,0.0,0.0,0.8876,0.0,0.9404,0.0
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8016393442622951,0.07877386083104237,3.2510457038879395,32.838845493817566,0.0008003874402493238,0.0,0.0,0.8317,0.0,0.9081,0.0
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.2,0.7672131147540985,0.09468543657831902,3.779564619064331,38.177420394589205,0.000825780862942338,0.0,0.0,0.6131,0.0,0.7602,0.0
acmsmn,wisconsin,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop,9,0.01,0.001,0.2,0.8775000000000001,0.044300112866673375,4.138562750816345,41.80366414966005,0.0008227205835282803,0.0,0.0,0.8931,0.0,0.9435,0.0
acmsmn,wisconsin,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8125,0.09387491677759294,3.489136004447937,35.24379802472664,0.0006117023620754481,0.0,0.0,0.829,0.0,0.9065,0.0
acmsmn,wisconsin,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_rand,9,0.01,0.001,0.2,0.8750000000000002,0.05244044240850759,3.5859947681427,36.22216937517879,0.0007468616776168346,0.0,0.0,0.8724,0.0,0.9319,0.0
acmsmn,wisconsin,1,2,2,512,2,5,0,1,1,0,mlp,global_w,adaptive_cs,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8450000000000001,0.06571719714047458,3.7562911033630373,37.942334377404414,0.0007812963798642158,0.0,0.0,0.8372,0.0,0.9114,0.0
acmsmn,wisconsin,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,0.5,0.5,0.9,100,2,30,distinct_hop_svds_low,9,0.01,0.001,0.2,0.8450000000000001,0.06571719714047458,3.58769690990448,36.23936272630788,0.001028116075322032,0.0,0.0,0.7807,0.0,0.8768,0.0
