model,dataset_name,variant,structure_info,init_layers_X,hidden,layers,hops,fixed_splits,resnet,layer_norm,att_hopwise_distinct,fuse_hop,normalization,online_cs,lambda_pen,lambda_2hop,threshold,comm_size,approach,split,lr,weight_decay,dropout,test_mean,test_std,runtime_average,epoch_average,cs_time,cs_nmi,cs_nmi_std,cs_jaccard,cs_jaccard_std,cs_f1,cs_f1_std
acmsmn,cornell,1,1,2,512,2,5,0,0.0,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8885245901639344,0.09296686477873985,8.19600863456726,82.78796600572991,0.007314368599909357,0.0,0.0,0.6566,0.0,0.7927,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1.0,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8540983606557377,0.1618639745311099,8.104067635536193,81.85926904582014,0.005889175080228597,0.0,0.0,0.6162,0.0,0.7625,0.0
acmsmn,cornell,1,1,2,512,2,5,0.0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8475409836065575,0.16113178049441287,8.304339122772216,83.88221336133553,0.007042157280084211,0.0,0.0,0.6162,0.0,0.7625,0.0
acmsmn,cornell,1,1,2,512,2,5,1.0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.754054054054054,0.06669709556353011,8.41952316761017,85.04568856171888,0.004311186359846033,0.0,0.0,0.655,0.0,0.7915,0.0
acmsmn,cornell,1,1,2,512,2,3,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.89672131147541,0.04214741026945063,6.589325404167175,66.55884246633511,0.018265223299968058,0.0,0.0,0.7622,0.0,0.8651,0.0
acmsmn,cornell,1,1,2,512,2,4,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8770491803278689,0.058765404357163695,7.176559615135193,72.49050116298176,0.004812709640245885,0.0,0.0,0.73,0.0,0.844,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8540983606557377,0.1618639745311099,8.510227727890015,85.96189624131328,0.011647299519972875,0.0,0.0,0.6162,0.0,0.7625,0.0
acmsmn,cornell,1,1,2,512,2,6,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8770491803278688,0.03827087714730739,9.827559304237365,99.26827580037744,0.00500194646010641,0.0,0.0,0.6424,0.0,0.7823,0.0
acmsmn,cornell,1,1,2,512,2,7,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8491803278688526,0.10992166960157518,10.350982928276062,104.55538311389961,0.0036225122402538546,0.0,0.0,0.8692,0.0,0.93,0.0
acmsmn,cornell,1,1,2,512,2,8,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8803278688524591,0.06518326344941326,12.65285656452179,127.80663196486655,0.01738541808008449,0.0,0.0,0.7771,0.0,0.8746,0.0
acmsmn,cornell,1,1,2,512,2,9,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.9,0.036251384241796684,12.034666585922242,121.56228874668932,0.004956992719962727,0.0,0.0,0.7649,0.0,0.8668,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,local_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8245901639344263,0.11822616217772326,7.93236927986145,80.12494222082273,0.0075557143200421705,0.0,0.0,0.6608,0.0,0.7958,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8524590163934427,0.1619552660357832,8.178784894943238,82.61398883781047,0.006295741319772788,0.0,0.0,0.6162,0.0,0.7625,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,none,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8213114754098362,0.12012042689654015,8.276741409301758,83.60344857880564,0.007253951279853937,0.0,0.0,0.659,0.0,0.7944,0.0
acmsmn,cornell,1,0,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8721311475409838,0.05276549816206911,6.1951919317245485,62.57769628004595,0.006712028119945899,0.0,0.0,0.6261,0.0,0.77,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.9016393442622951,0.04519360246586958,7.819337987899781,78.98321199898768,0.006035895919776522,0.0,0.0,0.6162,0.0,0.7625,0.0
acmsmn,cornell,1,2,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8836065573770494,0.044865351420996756,5.6420197010040285,56.990097989939684,0.006374020160001237,0.0,0.0,0.6467,0.0,0.7855,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop,9,0.01,0.001,0.5,0.8688524590163936,0.03278688524590164,8.620317745208741,87.0739166182701,0.006522977979911957,0.0,0.0,0.8305,0.0,0.9074,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8459016393442622,0.15948047878052865,8.472518277168273,85.58099269866943,0.00613174494006671,0.0,0.0,0.6162,0.0,0.7625,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_rand,9,0.01,0.001,0.5,0.862295081967213,0.073752274617718,8.451001167297363,85.36364815451881,0.009103730380011256,0.0,0.0,0.8474,0.0,0.9174,0.0
acmsmn,cornell,1,1,2,64,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8475409836065573,0.04754098360655739,7.908468389511109,79.88351908597079,0.011860837519925553,0.0,0.0,0.9371,0.0,0.9676,0.0
acmsmn,cornell,1,1,2,128,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8721311475409838,0.030049676688235008,8.007969284057618,80.88857862684462,0.011022376700129826,0.0,0.0,0.8889,0.0,0.9412,0.0
acmsmn,cornell,1,1,2,256,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8508196721311474,0.04832591138683171,8.327215099334717,84.11328383166381,0.013864631339965855,0.0,0.0,0.8582,0.0,0.9237,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8557377049180328,0.16324444963284723,8.20215585231781,82.85005911432133,0.006670818940037861,0.0,0.0,0.6162,0.0,0.7625,0.0
acmsmn,cornell,1,1,2,1024,2,5,0,1,1,0,mlp,global_w,bfs_teleport,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8852459016393442,0.04807501081513175,8.603959560394287,86.90868242822512,0.005431713279976975,0.0,0.0,0.807,0.0,0.8932,0.0
acmsmn,cornell,1,1,2,512,2,5,0,1,1,0,mlp,global_w,signed_cs,1,0.5,0.9,30,distinct_hop_svds_low,9,0.01,0.001,0.5,0.8967213114754097,0.043403941950405665,8.556540703773498,86.42970407852019,2.955310136600165,0.0,0.0,0.7552,0.0,0.8605,0.0
